index,TYPE
243325,Offence Against a Person
219318,Offence Against a Person
761172,Theft of Vehicle
621462,Theft from Vehicle
673115,Theft from Vehicle
184829,Mischief
628709,Theft from Vehicle
323582,Other Theft
681168,Theft from Vehicle
551299,Theft from Vehicle
476263,Other Theft
673448,Theft from Vehicle
34509,Break and Enter Commercial
628869,Theft from Vehicle
135898,Mischief
200022,Mischief
705042,Theft from Vehicle
189558,Mischief
723922,Theft of Bicycle
539036,Theft from Vehicle
361536,Other Theft
71740,Break and Enter Residential/Other
539890,Theft from Vehicle
263615,Offence Against a Person
283954,Other Theft
637760,Theft from Vehicle
387366,Other Theft
203193,Mischief
717579,Theft of Bicycle
656163,Theft from Vehicle
554069,Theft from Vehicle
471775,Other Theft
140420,Mischief
627392,Theft from Vehicle
128874,Mischief
181025,Mischief
298965,Other Theft
148041,Mischief
352066,Other Theft
477192,Theft from Vehicle
174668,Mischief
220577,Offence Against a Person
209300,Mischief
508709,Theft from Vehicle
516777,Theft from Vehicle
715530,Theft of Bicycle
115405,Mischief
417865,Other Theft
135682,Mischief
689585,Theft from Vehicle
468779,Other Theft
276628,Offence Against a Person
298840,Other Theft
228750,Offence Against a Person
788469,Vehicle Collision or Pedestrian Struck (with Injury)
769159,Theft of Vehicle
669561,Theft from Vehicle
144659,Mischief
537918,Theft from Vehicle
355285,Other Theft
602220,Theft from Vehicle
196646,Mischief
138428,Mischief
391577,Other Theft
36958,Break and Enter Commercial
803905,Vehicle Collision or Pedestrian Struck (with Injury)
38842,Break and Enter Commercial
800414,Vehicle Collision or Pedestrian Struck (with Injury)
764765,Theft of Vehicle
522854,Theft from Vehicle
599471,Theft from Vehicle
152536,Mischief
585066,Theft from Vehicle
407617,Other Theft
290082,Other Theft
342187,Other Theft
783993,Vehicle Collision or Pedestrian Struck (with Injury)
159074,Mischief
663034,Theft from Vehicle
251778,Offence Against a Person
133042,Mischief
516111,Theft from Vehicle
732171,Theft of Bicycle
90508,Break and Enter Residential/Other
810293,Vehicle Collision or Pedestrian Struck (with Injury)
149684,Mischief
295131,Other Theft
720439,Theft of Bicycle
5985,Break and Enter Commercial
312446,Other Theft
494379,Theft from Vehicle
742651,Theft of Vehicle
788693,Vehicle Collision or Pedestrian Struck (with Injury)
317705,Other Theft
137994,Mischief
809536,Vehicle Collision or Pedestrian Struck (with Injury)
239502,Offence Against a Person
657430,Theft from Vehicle
444212,Other Theft
341418,Other Theft
449545,Other Theft
654969,Theft from Vehicle
163357,Mischief
297930,Other Theft
795888,Vehicle Collision or Pedestrian Struck (with Injury)
621373,Theft from Vehicle
165271,Mischief
309426,Other Theft
529384,Theft from Vehicle
523982,Theft from Vehicle
200719,Mischief
452906,Other Theft
218121,Offence Against a Person
215372,Offence Against a Person
673112,Theft from Vehicle
203949,Mischief
470507,Other Theft
448299,Other Theft
171856,Mischief
396931,Other Theft
210239,Offence Against a Person
83781,Break and Enter Residential/Other
347578,Other Theft
678338,Theft from Vehicle
332507,Other Theft
772665,Theft of Vehicle
457907,Other Theft
14913,Break and Enter Commercial
61944,Break and Enter Residential/Other
515636,Theft from Vehicle
145539,Mischief
565015,Theft from Vehicle
502973,Theft from Vehicle
602766,Theft from Vehicle
725648,Theft of Bicycle
255422,Offence Against a Person
108225,Break and Enter Residential/Other
232102,Offence Against a Person
393940,Other Theft
764113,Theft of Vehicle
368061,Other Theft
223328,Offence Against a Person
193470,Mischief
391576,Other Theft
476382,Other Theft
197629,Mischief
563470,Theft from Vehicle
74407,Break and Enter Residential/Other
336247,Other Theft
378755,Other Theft
277799,Offence Against a Person
658079,Theft from Vehicle
67443,Break and Enter Residential/Other
194622,Mischief
601801,Theft from Vehicle
591631,Theft from Vehicle
626902,Theft from Vehicle
88655,Break and Enter Residential/Other
290093,Other Theft
394365,Other Theft
546160,Theft from Vehicle
184668,Mischief
503950,Theft from Vehicle
727972,Theft of Bicycle
809210,Vehicle Collision or Pedestrian Struck (with Injury)
808591,Vehicle Collision or Pedestrian Struck (with Injury)
22506,Break and Enter Commercial
381202,Other Theft
255915,Offence Against a Person
323325,Other Theft
276739,Offence Against a Person
566423,Theft from Vehicle
105536,Break and Enter Residential/Other
456239,Other Theft
4222,Break and Enter Commercial
429582,Other Theft
107327,Break and Enter Residential/Other
633585,Theft from Vehicle
80168,Break and Enter Residential/Other
187542,Mischief
187388,Mischief
69339,Break and Enter Residential/Other
1822,Break and Enter Commercial
563051,Theft from Vehicle
117528,Mischief
602217,Theft from Vehicle
298786,Other Theft
405038,Other Theft
300439,Other Theft
542665,Theft from Vehicle
679191,Theft from Vehicle
719799,Theft of Bicycle
43020,Break and Enter Commercial
387368,Other Theft
244738,Offence Against a Person
341630,Other Theft
611506,Theft from Vehicle
